Id,Title,Body,Tags
244,jQuery - var is underfined,"<p>I have following script:</p>

<pre><code>    $('.news ul li').hide();
    $('.news ul li:first-child').show();


    function Roller() {
        var CurrectNews = $('.news ul li').filter(':visible');
        var FirstNews = $('.news ul li:first-child');

        if ( $(CurrectNews).is(':last-child') ){    
                $(CurrectNews).fadeOut('slow');
                $(FirstNews).fadeIn('slow');
           } else {
               $(CurrentNews).fadeOut('slow');
               $(CurrentNews).next().fadeIn('slow');            
        }
    }
    setInterval(Roller, 5000);
</code></pre>

<p>When I run it, FireBug is saying that <code>CurrentNews is underfinded</code>. Why?</p>

<p>When I watch for <code>$('.news ul li').filter(':visible');</code> it does find 1 element, as expected.</p>

<p>Any suggestion much appreciated. </p>
",jquery
245,How to use GL_HALF_FLOAT_OES typed textures in iOS?,"<p>I'm trying to create a float texture to store intermediate results of my rendering pipeline created by a fragment shader. I need the values of the fragments to be <em>signed floats</em>.</p>

<p>I understand that there is the <a href=""http://www.khronos.org/registry/gles/extensions/OES/OES_texture_float.txt"">OES_texture_float</a> extension which should be supported by all new iOS devices (i.e. beginning from iPhone 3GS/iPod Touch 3/iPad according to the <a href=""http://developer.apple.com/library/ios/#documentation/3DDrawing/Conceptual/OpenGLES_ProgrammingGuide/OpenGLESPlatforms/OpenGLESPlatforms.html#//apple_ref/doc/uid/TP40008793-CH106-SW1"">Apple guide</a>).</p>

<p>However, when I create such a texture using</p>

<pre><code>glTexImage2D(GL_TEXTURE_2D, 0, GL_RGB, width, height, 0, GL_RGB, GL_HALF_FLOAT_OES, NULL);
</code></pre>

<p>start my app and inspect it in Instruments, it tells me:</p>

<blockquote>
  <p>glTexImage2D(GL_TEXTURE_2D, 0, GL_RGB, width, height, 0, GL_RGB, GL_HALF_FLOAT_OES, NULL) : (invalid enum=0x8d61): Invalid enum for argument 'type'</p>
</blockquote>

<p>The curious thing is that it's nevertheless working on my iPhone 4S, but not on a iPhone 4 (which should be supported as well). The error message appears for both devices, though. But on the iPhone 4 OpenGL can't build a valid framebuffer object using this texture as a rendering target. On the 4S that works perfectly well.</p>

<p>Do you have any suggestions what I'm doing wrong?</p>

<p>Thanks!</p>
",ios opengl-es floating-point texture
246,Ruby Static method with local scope,"<p>The title sounds rediculous because it is. My biggest issue is actually trying to figure out what question to ask.</p>

<ol>
<li><p>The goal: To be able to implement the code as described below OR to figure out what terminology I should be using to search for the correct answer.</p></li>
<li><p>The issue: I wish to have a system where classes register ""processors"" via a method within the class definition. eg:</p>

<pre><code>class RunTheseMethodsWhenICallProcess
  Include ProcessRunner

  add_processor :a_method_to_run
  add_processor :another_method_to_run

  def a_method_to_run
    puts ""This method ran""
  end

  def another_method_to_run
    puts ""another method ran""
  end

end

Module ProcessRunner
  def process
     processors.each {|meth| self.send(meth)}
  end
end
</code></pre></li>
</ol>

<p>My issues are mostly with understanding the scope and reference of the class to make them interact. As it stands, I have been able to add a static method 'add_processor' by calling class.extend(AClass) in the included method and adding in the class there.</p>

<p>The idea for this syntax was inspired by DataMappers 'property' and 'before' methods. Even with the code checked out, I am having a touch of trouble following it.</p>

<p>Thanks so much for any help you can offer.</p>
",ruby methods static module include
247,How can I take one child of xml file,"<p>I investigated this problem for hours on end.
but I couldn't find out it.
I really need you guidance for flex mobile application.</p>

<p>I only wanna use a xml child  (not all of them ) </p>

<p>for example ; I only wanna this person's picture ""Allen Partridge"" </p>

<p>this is xml file :  <a href=""http://adobeevangelists.com/evangelists.xml"" rel=""nofollow"">http://adobeevangelists.com/evangelists.xml</a></p>

<p>this is my project;</p>

<pre><code>    xmlns:s=""library://ns.adobe.com/flex/spark"" title=""HomeView""  creationComplete=""view1_creationCompleteHandler(event)"" &gt;



&lt;fx:Script&gt;
    &lt;![CDATA[
        import mx.events.FlexEvent;



        protected function view1_creationCompleteHandler(event:FlexEvent):void
        {
            adres.send();
        }


    ]]&gt;
&lt;/fx:Script&gt;






&lt;fx:Declarations&gt;       
    &lt;s:HTTPService id=""adres"" url=""http://adobeevangelists.com/evangelists.xml""/&gt;                
&lt;/fx:Declarations&gt;



&lt;s:Image id=""picture"" x=""50"" y=""500"" source=""{adres.evangelist.(name == 'Allen Partridge').profileimage}"" /&gt; 




&lt;s:List left=""0"" right=""0"" top=""0"" bottom=""500"" dataProvider=""{adres.lastResult.evangelists.evangelist}"" labelField=""name"" &gt;&lt;/s:List&gt;
</code></pre>

<p></p>
",xml actionscript-3 flash flex4.5 flexbuilder
248,Can a live wallpaper be linked to an app?,"<p>i'm new at live wallpapers. Is it possible to link a live wallpaper to an app with it's own engine? I mean, to avoid using the typical ""Live wallpapers settings"" where you choose the amount of items (mostly fishes xD), that you want in the wallpaper. I'd like to have my own app to manage the content of the live wallpaper. Would that be possible? If answer is yes, i'd be helpful if you told me how to do it.</p>
",android live-wallpaper
249,add column that browses on a sharepoint content type,"<p>Im creating a new content type in sharepoint.</p>

<p>I am trying to add a new column/field that will let the user browse for an ""asset"" eg picture or video that exists in the sharepoint site.</p>

<p>how do i add a column that gives the user the ability to browse.</p>

<p>thanks</p>
",sharepoint
250,Trying to call an element in a 2-d array in a while loop (python/numpy),"<p>I am trying to create a program that reduces any given matrix to reduced row echelon form. </p>

<p>What I'm trying to is to divide each entry in the row by the leading number. For example, say I have:</p>

<pre><code>[ [3, 4, 5], [ 1, 2, 3] ]  # a 2-d array. which gives:

[ 3, 4, 5]
[ 1, 2, 3]
</code></pre>

<p>I'm trying to turn that into [ 1 , 4/3, 5/3]. However, if you follow my code:</p>

<pre><code>def npgauss(a):
    n = 0

    for i in a[0]:
        x = a[0][0] 
        a[0][n] = a[0][n]/x 
        print a[0][n]
        n = n + 1
</code></pre>

<p>you'll see that my problem is that the 1st entry get divided by itself to give 1, and then when it goes to the second entry, it divides that by the new number 1 instead of the original number 3 (which is what I want). </p>

<p>I can't figure out a way around this! How do I make it so that it divides by the original number?</p>
",python matrix numpy
251,"javascript callbacks based on html/php output, retrieving variable","<p>I am using jquery to post data from forms (through the jquery form plugin - <a href=""http://jquery.malsup.com/form/"" rel=""nofollow"">http://jquery.malsup.com/form/</a>)</p>

<p>The only callback that I am able to receive (in the ""success:"" portion) is the ""html"" using success: function(html) { ... }. </p>

<p>Can you only differentiate the success response based on the html output?</p>

<p>Basically I want something that can do this..</p>

<p>success: function(html, some_other_variable) {</p>

<p>if (some_other_variable == 1) {</p>

<p>//do something</p>

<p>} else {</p>

<p>//do something else</p>

<p>}</p>

<p>}</p>

<p>I have been reading here: <a href=""http://api.jquery.com/jQuery.post/"" rel=""nofollow"">http://api.jquery.com/jQuery.post/</a> .. but no luck</p>

<p>Thanks in advance,
Phil</p>
",jquery ajax forms jquery-plugins post
252,Custom View Scrolling issues Android,"<p>I've been designing an application that requires the use of a scrollbar on a custom view. The problem that I have run into is that my custom view's height will constantly change when new items are added by the user. I suspect that this isn't a very unusual problem, but to complicate things, I'm not actually adding new objects to my custom view, I'm just drawing Bitmap images on the canvas. The reason this is troublesome to me is when Android inflates the layout, it sets the size to be whatever I tell it (0dip) and as I add the Bitmaps, it simply changes the size to fill the Scrollview; thereby, whenever the Custom View draws an image beyond the current height constraints, instead of scrolling, the app simply cuts the picture off to maintain the current height.</p>

<p>(This is for a card game app, so I wanted to fan out your current deck in a easy to view and edit fashion.)</p>

<p>Here is the relevant code :</p>

<pre><code>public class DeckEdit extends Activity implements FilterQueryProvider  {

static final int PROGRESS_DIALOG = 0;
private Deck deck;
private CardListAdapter lstAdpt;
private ArrayList&lt;CardImage&gt; cards;
private ProgressDialog progressDialog;
private ProgressThread progressThread;
private String[] cardList;
private DeckEditCardView deckGrid;
private ScrollView sc;
protected Cursor cursor;

private EditText filterText = null;
ArrayAdapter&lt;String&gt; adapter = null;

public void onCreate(Bundle savedInstanceBundle){
    super.onCreate(savedInstanceBundle);
    deck = new Deck();
//This is what stores the Card Images that I draw to the canvas with
    cards = new ArrayList&lt;CardImage&gt;();

    setContentView(R.layout.deck_edit_layout);

    sc = (ScrollView) findViewById(R.id.deck_scroller);
    deckGrid = (DeckEditCardView) findViewById(R.id.deck_grid);

    filterText = (EditText) findViewById(R.id.card_search_box);
    filterText.addTextChangedListener(filterTextWatcher);


    pickDeck();
}
</code></pre>

<p>And then this is called after I load the deck</p>

<pre><code>private void finishSetup(){
    //this is where I set up the deckGrid to have all the cards and then
    deckGrid.setCards(cards);
    //draw them to the screen
    deckGrid.invalidate();
    //This is where I realized that the height value might be causing the problem
    Log.d(""finishSetup()"", ""deckGrid width: ""+deckGrid.getWidth());
    Log.d(""finishSetup()"", ""deckGrid height: ""+deckGrid.getHeight());
}
</code></pre>

<p>The DeckEditCardView class contains this</p>

<pre><code>public class DeckEditCardView extends View implements OnTouchListener {
private ArrayList&lt;CardImage&gt; cards;

private int X_COLS;
@SuppressWarnings(""unused"")
private int Y_ROWS;
private final int COL_WIDTH;
private final int ROW_HEIGHT;
private Context context;

private final int X_PADDING = 2;
private final int Y_PADDING = 2;
private final int X_CARD_OVERLAY = 7;
private final int Y_CARD_OVERLAY = 5; 


public DeckEditCardView(Context context) {
    super(context);
    cards = new ArrayList&lt;CardImage&gt;();
    int cardWidth = getResources().getDrawable(R.drawable.back).getIntrinsicWidth();
    int cardHeight = getResources().getDrawable(R.drawable.back).getIntrinsicHeight();
    COL_WIDTH = (X_PADDING+(X_CARD_OVERLAY*3)+cardWidth);
    Log.d(""DECV"",""COLWIDTH 1: ""+COL_WIDTH);
    ROW_HEIGHT = (Y_PADDING+(Y_CARD_OVERLAY*3)+cardHeight);
    Log.d(""DECV"",""ROWE_HEIGHT 1: ""+ROW_HEIGHT);
}

public DeckEditCardView(Context context, AttributeSet attrs) {
    super(context, attrs);
    cards = new ArrayList&lt;CardImage&gt;();

    int cardWidth = getResources().getDrawable(R.drawable.back).getIntrinsicWidth();
    int cardHeight = getResources().getDrawable(R.drawable.back).getIntrinsicHeight();
    COL_WIDTH = (X_PADDING+(X_CARD_OVERLAY*3)+cardWidth);
    Log.d(""DECV"",""COLWIDTH 2 : ""+COL_WIDTH);
    ROW_HEIGHT = (Y_PADDING+(Y_CARD_OVERLAY*3)+cardHeight);
    Log.d(""DECV"",""ROWE_HEIGHT 2: ""+ROW_HEIGHT);
}

/*
public DeckEditCardView(Context context, AttributeSet attrs, int defStyle) {
    super(context, attrs, defStyle);
    cards = new ArrayList&lt;CardImage&gt;();
    int width = getWidth();
    int height = getHeight();
    int cardWidth = getResources().getDrawable(R.drawable.back).getIntrinsicWidth();
    int cardHeight = getResources().getDrawable(R.drawable.back).getIntrinsicHeight();
    COL_WIDTH = (X_PADDING+(X_CARD_OVERLAY*3)+cardWidth);
    Log.d(""DECV"",""COLWIDTH 3: ""+COL_WIDTH);
    ROW_HEIGHT = (Y_PADDING+(Y_CARD_OVERLAY*3)+cardHeight);
    Log.d(""DECV"",""ROWE_HEIGHT 3: ""+ROW_HEIGHT);
    X_COLS = (width/COL_WIDTH);
    Y_ROWS = (height/ROW_HEIGHT);

}
*/    
@Override
public void onFinishInflate(){
    super.onFinishInflate();
    //this.
}

public void onSizeChanged(int w, int h, int oldw, int oldh){
    int width = getWidth();
    int height = getHeight();
    X_COLS = (width/COL_WIDTH);
    Y_ROWS = (height/ROW_HEIGHT);

}



public Point getNextCardPoint(Point curP, boolean sameCard){
    Point p=null;
    if (sameCard)
        p = new Point(curP.x+X_CARD_OVERLAY,curP.y+Y_CARD_OVERLAY);
    else { //need to be on the same column
        if (point2Col(curP)+1&lt;X_COLS)
            p = new Point(COL_WIDTH*(point2Col(curP)+1)+X_PADDING,
                ROW_HEIGHT*(point2Row(curP))+Y_PADDING);
        else {//add to new column
            if (point2Row(curP)+1 &gt; Y_ROWS)
                Y_ROWS++;

            p = new Point(X_PADDING,
                    ROW_HEIGHT*(point2Row(curP)+1)+Y_PADDING);
        }
    }
    return p;
}

public void setCards(ArrayList&lt;CardImage&gt; cards){
    this.cards = cards;
}

private int point2Col(Point p){
    return p.x / COL_WIDTH;
}
private int point2Row(Point p){
    return p.y / ROW_HEIGHT;
}


@Override
protected void onDraw(Canvas canvas) {
    super.onDraw(canvas);
    //ScrollView s = new ScrollView(context);
    //s.addView(canvas);
    int length = cards.size();
    CardImage c;
    for (int i = 0; i &lt; length; i++) {
        //Log.d(""onDraw"", ""output a card"");
        c = cards.get(i);
        canvas.drawBitmap(c.getBitmap(), c.getX(), c.getY(), null);
    }
}

@Override
public boolean onTouch(View arg0, MotionEvent arg1) {
    // TODO Auto-generated method stub
    return false;
}
}
</code></pre>

<p>So in conclusion, I don't know how to allow the user to scroll and see the cards that don't fit on the screen (its almost guaranteed that a fully built deck will take a scrollbar to see all of them. At most with this code it'll put in all the card images I need, but the ones that go of screen I don't know what to do :/</p>

<p>And lastly my Layout.xml file
    
    </p>

<pre><code>&lt;com.xeroxchange.ydd.DeckEditCardView android:layout_weight=""2"" 
     android:id=""@+id/deck_grid"" 
     android:layout_width=""fill_parent"" 
     android:layout_height=""0dip""&gt;&lt;/com.xeroxchange.ydd.DeckEditCardView&gt;
&lt;/ScrollView&gt;       
&lt;LinearLayout android:layout_weight=""1"" 
    android:layout_width=""fill_parent""
    android:layout_height=""fill_parent""
    android:orientation=""vertical"" &gt;

        &lt;!-- Pretty hint text, and maxLines --&gt;
&lt;EditText android:id=""@+id/card_search_box"" 
    android:layout_width=""fill_parent""
    android:layout_height=""wrap_content""
    android:hint=""type to filter""
    android:inputType=""text""
    android:maxLines=""1""/&gt;

    &lt;!-- Set height to 0, and let the weight param expand it --&gt;
    &lt;!-- Note the use of the default ID! This lets us use a 
         ListActivity still! --&gt;
    &lt;ListView android:id=""@+id/card_list""
        android:layout_width=""fill_parent""
        android:layout_height=""0dip""
        android:layout_weight=""2"" 
    /&gt; 

&lt;/LinearLayout&gt;

&lt;/LinearLayout&gt;
</code></pre>
",java android android-custom-view
253,JasperReports using EJB: Cannot find the class file for net.sf.jasperreports.engine.JasperPrint,"<p>I am using <em>JasperRreports 4.5.1</em>. I have created the reports and integrated them with my java application successfully. </p>

<p>Now I am trying to use the same with <em>Struts</em> and <em>EJB</em>. 
When I deploy my EAR, I am getting the error message: </p>

<pre><code>Cannot find the class file for net.sf.jasperreports.engine.JasperPrint 
</code></pre>

<p>despite having the <em>JR</em> jar in my classpath.</p>

<p>Also it does not show any error messages in the class during compilation.</p>

<p>What is the issue?</p>
",java jasper-reports ejb
254,Breakpoint at exception in Eclipse - how to examine Exception object?,"<p>I feel like I'm missing something very simple here.  I have Eclipse set up to break on all exceptions.  So, let's say that it breaks on an AssertationFailedException.  The Debug window will show that thread suspended and has the following data:</p>

<pre>Thread [Thread-1] (Suspended (exception AssertionFailedException)) 
    ContactManager.addContact(String) line: 93  
    ContactManager$ContactDataCallback.dispatch(String, Element, ClientConnector) line: 118 
    PacketHandler.handle(FractusPacket) line: 173   
    ServerConnection.syncProcess(FractusMessage) line: 122  
    ServerConnection.run() line: 248    
    Thread.run() line: 636</pre>

<p>However, the text that I'm looking for, such as:
""Getter called outside realm of observable org.eclipse.core.databinding.observable.set.WritableSet@4b7361e2"", is not available until I step through the exception (thus propagating it all the way up the stack) where it outputs the type of the exception, the text (which is the part that I want) and the stack trace.</p>

<p>How can I examine the ""AssertationFailedException"" (or any other exception) in order to get the message with which the exception was constructed?  Of course I'm in the Debug perspective.</p>
",java eclipse exception debugging
255,"Is algorithm analysis needed for a linux kernel, linux device driver or module writer programmer?","<p>I am not good in analysis of algorithm and trying to get some knowledge.
As I am interested in kernel, linux device driver or module writer programming is this analysis really needed for these programming ,if yes then some concept is enough or I  have to be good analyser of my code or Can I skip this and work on Programming knowledge like C,C++,Linux kernel etc</p>

<p>Thanks</p>
",linux algorithm kernel linux-device-driver
256,How to figure out all colors in a gradient?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://stackoverflow.com/questions/3080421/javascript-color-gradient"">Javascript color gradient</a>  </p>
</blockquote>



<p>I have color one (let's say yellow) and color two (blue) - they make up a gradient.<br>
Based on a value of 0 to 100, (0 being yellow and 100 being blue), I'd like to represent a mixture of  color one and two.</p>

<p>I am trying to do this in a mobile browser (safari specifically).</p>

<p>Is there a way to do this in javascript?</p>
",javascript html html5 colors mobile-safari
257,cyclical generics (try 2),"<p>Second attempt at <a href=""http://stackoverflow.com/questions/9422762/cyclical-generics"">this</a> question (the initial code wasn't enough to highlight the issue)</p>

<p>Here is the code that does not compile:</p>

<pre><code>interface Player&lt;R, G extends Game&gt;
{
    R takeTurn(G game);
}

interface Game&lt;P extends Player&gt;
{
    void play(P player);
}

abstract class AbstractGame&lt;R, P extends Player&gt;
    implements Game&lt;P&gt;
{
    public final void play(final P player)
    {
        final R value;

        value = player.takeTurn(this);
        turnTaken(value);
    }

    protected abstract void turnTaken(R value);
}

public class XPlayer
    implements Player&lt;Integer, XGame&gt;
{
    @Override
    public Integer takeTurn(final XGame game)
    {
        return (42);
    }
}

public class XGame&lt;P extends Player&lt;Integer, XGame&gt;&gt;
    extends AbstractGame&lt;Integer, XPlayer&gt;
{
    @Override
    protected void turnTaken(final Integer value)
    {
        System.out.println(""value = "" + value);
    }
}

public class Main
{
    public static void main(final String[] argv) 
    {
        final XPlayer player;
        final XGame   game;

        player = new XPlayer();
        game   = new XGame();
        game.play(player);
    }
}
</code></pre>

<p>What I am running up against is trying to get the play method in the AbstractGame to compile.  It seems that I have to run in circles with the Game and the Player adding generics to the extends/implements but for the life of me I cannot get it straight.</p>

<p>The play method has to be final in the AbstractGame class, and there is no way to do casting, and I don't want to write another method like the turnTaken one to get it to work if I don't have to.</p>

<p>EDIT: as requested here is the code that compiles, but needs the cast:</p>

<pre><code>interface Player&lt;R, P extends Player&lt;R, P, G&gt;, G extends Game&lt;R, G, P&gt;&gt;
{
    R takeTurn(G game);
}

interface Game&lt;R, G extends Game&lt;R, G, P&gt;, P extends Player&lt;R, P, G&gt;&gt;
{
    void play(P player);
}

abstract class AbstractGame&lt;R, G extends Game&lt;R, G, P&gt;, P extends Player&lt;R, P, G&gt;&gt;
    implements Game&lt;R, G, P&gt;
{
    public final void play(final P player)
    {
        final R value;

        value = player.takeTurn((G)this);
        turnTaken(value);
    }

    protected abstract void turnTaken(R value);
}

class XPlayer
    implements Player&lt;Integer, XPlayer, XGame&gt;
{
    @Override
    public Integer takeTurn(final XGame game)
    {
        return (42);
    }
}

class XGame
    extends AbstractGame&lt;Integer, XGame, XPlayer&gt;
{
    @Override
    protected void turnTaken(final Integer value)
    {
        System.out.println(""value = "" + value);
    }
}

class Main
{
    public static void main(final String[] argv) 
    {
        final XPlayer player;
        final XGame   game;

        player = new XPlayer();
        game   = new XGame();
        game.play(player);
    }
}
</code></pre>
",java generics
258,mvc .net and jquery how do you remove a character before posting to avoid validation?,"<p>I have a property on a model that accepts a string value and stores hex values for colors</p>

<p><strong>eg: EEEEEE, 000000</strong></p>

<p>I integrated a jquery plugin so that the user can use a color picker. I like it since it's very easy to use. The problem is that when you pick a color it fills up the text box with a ""#"" character which then makes it easy to change the color of the textbox (for User friendliness purposes - it's part of the plugin). </p>

<p>Now I want to save the value on post but the problem is the validation on the model will only accept the following characters ""0-9A-F"". Which I also want to maintain (no special characters on the database).</p>

<p>So I figured to avoid the validation I would modify the textbox on click of the button. My questions are:</p>

<p><strong>1. Is that the most efficient way?</strong></p>

<p><strong>2. If it is, how would i do it using jquery? or something else?</strong></p>

<p>Let me know your thoughts.</p>

<p>Thanks!!!</p>
",jquery asp.net-mvc-3 forms formcollection
259,Testng marked a test as success when it should fail,"<p>I have test code as below. test1 passes the test but test2 failed when I expect both to fail. Can anyone please explain why this happens?</p>

<pre><code>@Test(dataProvider=""prov"")
public void test1(int x, int y){
    System.out.println(""x="" + x + "", y="" + y);
    assertEquals(x + y, 3);
}

@Test(dataProvider=""prov"")
public void test2(int x, int y){
    System.out.println(""x="" + x + "", y="" + y);
    assertEquals(x + y, 7);
}

@DataProvider
public Object[][] prov(){
    return new Object[][]{
        {1,2},
        {3,4}
    };
}
</code></pre>
",java netbeans testng dataprovider
260,Conflicting event-handling in jQuery,"<p>I have a <code>&lt;div&gt;</code> like this:</p>

<pre><code>&lt;div id=""Field1""&gt;
  &lt;label id=""label1""&gt;Name&lt;/label&gt;&lt;br/&gt;
  &lt;input type=""text"" data-attr=""text"" style=""..."" id=""input1""/&gt;&lt;br/&gt;
  &lt;label id=""instr1""/&gt;
  &lt;div class=""xfb-row-options1""&gt;
    &lt;a class=""button-delete"" src=""..."" style=""...""&gt;-&lt;/a&gt; 
  &lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p>I already have a jQuery function:</p>

<pre><code>$(""#fb_contentarea_col1down21 div"").live(""click"", function(){
  // some stuff to change the properties of the Field,
  // like changing the field name, size.
  return false;
});
</code></pre>

<p>I have a <code>&lt;div&gt;</code> with a ""delete"" image button inside it, and I want to delete this  on clicking ""<code>button-delete1</code>"". I tried it with:</p>

<pre><code>$(""#fb_contentarea_col1down21 div div .button-delete1"").live(""click"", function(){
  //deleting the Div Field1
  return false;
});
</code></pre>

<p>Now both my functions conflict. When I click on ""<code>button-delete1</code>"", my function #1 gets executed and shows me an error.</p>
",jquery
261,NICs not visible for DA0S20MB6F2,"<p>I have a motherboard that says <strong>DA0S20MB6F2</strong> on it. It was in an iron port box. I can't get Windows to see the NICs on it. Why not? What do I have to do to make the NICs visible?</p>
",networking drivers
262,Detecting drawn shapes in Canvas+Javascript?,"<p>I had an idea for a WebOS, but it requires detecting drawn shapes. Ie: I want a user to be able to draw an image, then draw a big box around the whole image. Then the user can drag that box by the grabbing the border, and moving the whole image around. This requires that I be able to detect when such a box has been drawn, and turn it into a Rect type. Anyone have any pointers or tips on how to do this? I don't even know where to start.</p>
",javascript canvas
263,"Using Open Graph Beta, how do you post that two Facebook users are friends within in an app?","<p>In our app, you can be friends with each other (just like you can be friends on Facebook).</p>

<p>Is it possible to use the Open Graph Beta to post an update in the News Feed, Ticker, and Timeline that a user (who is already authenticated with ""Add to Timeline"") has ""become friends"" (action) with another user (object)? It doesn't appear that you can access Facebook profiles as objects, so how would this be accomplished? Or is it not possible?</p>
",news-feed ticker facebook-timeline open-graph-beta
264,Default encoding type for wsHttp binding,"<p>My understanding was that the default encoding for wsHttp binding is text. However, when I use Fiddler to see the SOAP message, a part of it looks like this:</p>

<pre><code>&lt;s:Envelope xmlns:s=""http://www.w3.org/2003/05/soap-envelope"" xmlns:a=""http://www.w3.org/2005/08/addressing"" xmlns:u=""http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd""&gt;&lt;s:Header&gt;&lt;a:Action s:mustUnderstand=""1"" u:Id=""_2""&gt;http://tempuri.org/Services/MyContract/GetDataResponse&lt;/a:Action&gt;&lt;a:RelatesTo u:Id=""_3""&gt;urn:uuid:503c5525-f585-4ecd-ac09-24db78526952&lt;/a:RelatesTo&gt;&lt;o:Security s:mustUnderstand=""1"" xmlns:o=""http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd""&gt;&lt;u:Timestamp u:Id=""uuid-8935f789-fbb7-4c69-9f67-7708373088c5-22""&gt;&lt;u:Created&gt;2010-03-08T19:15:50.852Z&lt;/u:Created&gt;&lt;u:Expires&gt;2010-03-08T19:20:50.852Z&lt;/u:Expires&gt;&lt;/u:Timestamp&gt;&lt;c:DerivedKeyToken u:Id=""uuid-8935f789-fbb7-4c69-9f67-7708373088c5-18"" xmlns:c=""http://schemas.xmlsoap.org/ws/2005/02/sc""&gt;&lt;o:SecurityTokenReference&gt;&lt;o:Reference URI=""urn:uuid:b2cbfe07-8093-4f44-8a06-f8b062291643"" ValueType=""http://schemas.xmlsoap.org/ws/2005/02/sc/sct""/&gt;&lt;/o:SecurityTokenReference&gt;&lt;c:Offset&gt;0&lt;/c:Offset&gt;&lt;c:Length&gt;24&lt;/c:Length&gt;&lt;c:Nonce&gt;afOoDygRG7BW+q8+makVIA==&lt;/c:Nonce&gt;&lt;/c:DerivedKeyToken&gt;&lt;c:DerivedKeyToken u:Id=""uuid-8935f789-fbb7-4c69-9f67-7708373088c5-19"" xmlns:c=""http://schemas.xmlsoap.org/ws/2005/02/sc""&gt;&lt;o:SecurityTokenReference&gt;&lt;o:Reference URI=""urn:uuid:b2cbfe07-8093-4f44-8a06-f8b062291643"" ValueType=""http://schemas.xmlsoap.org/ws/2005/02/sc/sct""/&gt;&lt;/o:SecurityTokenReference&gt;&lt;c:Nonce&gt;l4rFsdYKLJTK4tgUWrSBRw==&lt;/c:Nonce&gt;&lt;/c:DerivedKeyToken&gt;&lt;e:ReferenceList xmlns:e=""http://www.w3.org/2001/04/xmlenc#""&gt;&lt;e:DataReference URI=""#_1""/&gt;&lt;e:DataReference URI=""#_4""/&gt;&lt;/e:ReferenceList&gt;&lt;e:EncryptedData Id=""_4"" Type=""http://www.w3.org/2001/04/xmlenc#Element"" xmlns:e=""http://www.w3.org/2001/04/xmlenc#""&gt;&lt;e:EncryptionMethod Algorithm=""http://www.w3.org/2001/04/xmlenc#aes256-cbc""/&gt;&lt;KeyInfo xmlns=""http://www.w3.org/2000/09/xmldsig#""&gt;&lt;o:SecurityTokenReference&gt;&lt;o:Reference ValueType=""http://schemas.xmlsoap.org/ws/2005/02/sc/dk"" URI=""#uuid-8935f789-fbb7-4c69-9f67-7708373088c5-19""/&gt;&lt;/o:SecurityTokenReference&gt;&lt;/KeyInfo&gt;&lt;e:CipherData&gt;&lt;e:CipherValue&gt;dW8B7wGV9tYaxM5ADzY6UuEgB5TFzdy4BZjOtF0NEbHyNevCIAVHMoyA69U4oUjQHMJD5nHS0N4tnJqfJkYellKlpFZcwqruJ1J/TFx9uwLFFAwZ+dSfkDqgKu/1MFzVSY8eyeYKmbPbVEYOHr0lhw3+7wn5NQr3yxvCjlucTAdklIhD72YnVlSVapOW3zgysGt5hStyj+bmIz5hLGyyv6If4HzWjUiru8V3iMM/ss1I+i9sJOD013kr4zaaA937CN9+/aZ2wbDXnYj31UX49uE/vvt9Tl+c4SiydbiX7tp1eNSTx9Ms5O64gb3aUmHEAYOJ19XCrr756ssFZtaE7QOAoPQkFbx9zXy0mb9j1YoPQNG+JAcrN0yoRN1klhccmY+csfYXdq7YBB/KS+u2WnUjQ7SlNFy5qIPxuy5y0Jyedr2diPKLi0gUi+cK49BLQtG/XEShtxFaeMy7zZTrQADxww7kEkhvtmAlmyRbz3oGc+
</code></pre>

<p>This doesn't look like text encoding to me (Shouldn't text encoding send data in readable form)? What am I missing?</p>

<p>Also, how do I setup binary encoding for wsHttp binding?</p>
",.net wcf wcf-binding
